Age,Fare,Pclass,Embarked,Male,Parch,SibSp,Survived
,7.7375,3,Q,1,0,0,0
43,211.3375,1,S,0,1,0,1
13,7.2292,3,C,0,0,0,1
17,57,1,S,0,0,1,1
29,30,1,S,1,0,0,0
,23.45,3,S,1,2,1,0
25,7.05,3,S,1,0,0,0
25,7.25,3,S,1,0,0,0
18,7.4958,3,S,0,0,0,1
8,29.125,3,Q,1,1,4,0
1,20.575,3,S,1,2,1,1
46,79.2,1,C,1,0,0,0
,7.75,3,Q,1,0,0,0
16,26,2,S,1,0,0,0
,69.55,3,S,0,2,8,0
,30.6958,1,C,1,0,0,0
25,7.8958,3,S,1,0,0,0
39,13,2,S,1,0,0,0
49,25.9292,1,S,0,0,0,1
31,8.6833,3,S,0,0,0,1
30,7.2292,3,C,1,0,0,0
30,24.15,3,S,0,1,1,0
34,13,2,S,1,0,0,0
31,26.25,2,S,0,1,1,1
11,120,1,S,1,2,1,1
0.42,8.5167,3,C,1,1,0,1
27,6.975,3,S,1,0,0,1
31,7.775,3,S,1,0,0,0
39,0,1,S,1,0,0,0
18,7.775,3,S,0,0,0,0
39,13,2,S,1,0,0,0
33,53.1,1,S,0,0,1,1
26,7.8875,3,S,1,0,0,0
39,24.15,3,S,1,0,0,0
35,10.5,2,S,1,0,0,0
6,31.275,3,S,0,2,4,0
30.5,8.05,3,S,1,0,0,0
,0,1,S,1,0,0,0
23,7.925,3,S,0,0,0,0
31,37.0042,2,C,1,1,1,0
43,6.45,3,S,1,0,0,0
10,27.9,3,S,1,2,3,0
52,93.5,1,S,0,1,1,1
27,8.6625,3,S,1,0,0,1
38,0,1,S,1,0,0,0
27,12.475,3,S,0,1,0,1
2,39.6875,3,S,1,1,4,0
,6.95,3,Q,1,0,0,0
,56.4958,3,S,1,0,0,0
1,37.0042,2,C,1,2,0,1
,7.75,3,Q,1,0,0,1
62,80,1,,0,0,0,1
15,14.4542,3,C,0,0,1,1
0.83,18.75,2,S,1,1,1,1
,7.2292,3,C,1,0,0,0
23,7.8542,3,S,1,0,0,0
18,8.3,3,S,1,0,0,0
39,83.1583,1,C,0,1,1,1
21,8.6625,3,S,1,0,0,0
,8.05,3,S,1,0,0,0
32,56.4958,3,S,1,0,0,1
,29.7,1,C,1,0,0,1
20,7.925,3,S,1,0,0,0
16,10.5,2,S,1,0,0,0
30,31,1,C,0,0,0,1
34.5,6.4375,3,C,1,0,0,0
17,8.6625,3,S,1,0,0,0
42,7.55,3,S,1,0,0,0
,69.55,3,S,1,2,8,0
35,7.8958,3,C,1,0,0,0
28,33,2,S,1,1,0,0
,89.1042,1,C,0,0,1,1
4,31.275,3,S,1,2,4,0
74,7.775,3,S,1,0,0,0
9,15.2458,3,C,0,1,1,0
16,39.4,1,S,0,1,0,1
44,26,2,S,0,0,1,0
18,9.35,3,S,0,1,0,1
45,164.8667,1,S,0,1,1,1
51,26.55,1,S,1,0,0,1
24,19.2583,3,C,0,3,0,1
,7.2292,3,C,1,0,0,0
41,14.1083,3,S,1,0,2,0
21,11.5,2,S,1,0,1,0
48,25.9292,1,S,0,0,0,1
,69.55,3,S,0,2,8,0
24,13,2,S,1,0,0,0
42,13,2,S,0,0,0,1
27,13.8583,2,C,0,0,1,1
31,50.4958,1,S,1,0,0,0
,9.5,3,S,1,0,0,0
4,11.1333,3,S,1,1,1,1
26,7.8958,3,S,1,0,0,0
47,52.5542,1,S,0,1,1,1
33,5,1,S,1,0,0,0
47,9,3,S,1,0,0,0
28,24,2,C,0,0,1,1
15,7.225,3,C,0,0,0,1
20,9.8458,3,S,1,0,0,0
19,7.8958,3,S,1,0,0,0
,7.8958,3,S,1,0,0,0
56,83.1583,1,C,0,1,0,1
25,26,2,S,0,1,0,1
33,7.8958,3,S,1,0,0,0
22,10.5167,3,S,0,0,0,0
28,10.5,2,S,1,0,0,0
25,7.05,3,S,1,0,0,0
39,29.125,3,Q,0,5,0,0
27,13,2,S,1,0,0,0
19,30,1,S,0,0,0,1
,23.45,3,S,0,2,1,0
26,30,1,C,1,0,0,1
32,7.75,3,Q,1,0,0,0
